timestamp_utc,events,multiplicity_hg_mean,multiplicity_hg_std,multiplicity_lg_mean,multiplicity_lg_std,multiplicity_hg_sem,multiplicity_lg_sem,timestamp_local
2026-02-19 23:33:00+00:00,103,2.7184,0.912,2.2136,0.5174,0.0899,0.051,2026-02-19 15:33:00-08:00
2026-02-19 23:34:00+00:00,100,2.75,0.9468,2.29,0.6079,0.0947,0.0608,2026-02-19 15:34:00-08:00
2026-02-19 23:35:00+00:00,105,2.7429,1.0922,2.2762,0.7531,0.1066,0.0735,2026-02-19 15:35:00-08:00
2026-02-19 23:36:00+00:00,111,2.8378,1.0228,2.3153,0.6464,0.0971,0.0614,2026-02-19 15:36:00-08:00
2026-02-19 23:37:00+00:00,107,2.729,0.8076,2.1495,0.4301,0.0781,0.0416,2026-02-19 15:37:00-08:00
2026-02-19 23:38:00+00:00,120,2.7167,0.8011,2.2083,0.5169,0.0731,0.0472,2026-02-19 15:38:00-08:00
2026-02-19 23:39:00+00:00,123,2.7886,0.8022,2.1626,0.4124,0.0723,0.0372,2026-02-19 15:39:00-08:00
2026-02-19 23:40:00+00:00,114,2.6754,0.8146,2.2193,0.5762,0.0763,0.054,2026-02-19 15:40:00-08:00
2026-02-19 23:41:00+00:00,108,2.6204,0.8724,2.2037,0.5427,0.0839,0.0522,2026-02-19 15:41:00-08:00
2026-02-19 23:42:00+00:00,119,2.7563,0.911,2.1513,0.4246,0.0835,0.0389,2026-02-19 15:42:00-08:00
2026-02-19 23:43:00+00:00,112,2.7054,0.8968,2.2232,0.5649,0.0847,0.0534,2026-02-19 15:43:00-08:00
2026-02-19 23:44:00+00:00,95,2.7579,1.0076,2.2526,0.5643,0.1034,0.0579,2026-02-19 15:44:00-08:00
2026-02-19 23:45:00+00:00,126,2.6111,0.6925,2.1667,0.469,0.0617,0.0418,2026-02-19 15:45:00-08:00
2026-02-19 23:46:00+00:00,128,2.6875,0.771,2.2109,0.4804,0.0682,0.0425,2026-02-19 15:46:00-08:00
2026-02-19 23:47:00+00:00,115,2.6348,0.7414,2.1478,0.482,0.0691,0.0449,2026-02-19 15:47:00-08:00
