TStampPC,Brd,TStamp_servEvt,BrdTemp,DetTemp,FPGATemp,HVTemp,Vmon,Imon,HVstatus,BrdStatus,timestamp_utc
1771537342997,0,1771537342039,35.0,26.9,39.4,31.5,57.0,0.006,1,0x44D,2026-02-19 21:42:22.997000+00:00
1771537343998,0,1771537343085,35.0,26.9,39.4,31.5,57.004,0.006,1,0x44D,2026-02-19 21:42:23.998000+00:00
1771537344999,0,1771537344159,35.0,26.9,39.3,31.5,57.004,0.007,1,0x44D,2026-02-19 21:42:24.999000+00:00
1771537346000,0,1771537345232,35.0,26.9,39.4,31.5,57.004,0.006,1,0x44D,2026-02-19 21:42:26+00:00
1771537347001,0,1771537346306,35.0,26.9,39.3,31.5,57.0,0.006,1,0x44D,2026-02-19 21:42:27.001000+00:00
1771537348002,0,1771537347380,35.0,26.9,39.4,31.6,57.001,0.006,1,0x44D,2026-02-19 21:42:28.002000+00:00
1771537349003,0,1771537348454,35.0,26.9,39.4,31.6,57.001,0.006,1,0x44D,2026-02-19 21:42:29.003000+00:00
1771537350004,0,1771537349527,35.0,26.9,39.4,31.6,57.001,0.006,1,0x44D,2026-02-19 21:42:30.004000+00:00
1771537351005,0,1771537350601,35.0,26.9,39.5,31.6,57.001,0.006,1,0x44D,2026-02-19 21:42:31.005000+00:00
1771537352006,0,1771537351675,35.0,26.9,39.5,31.6,57.001,0.006,1,0x44D,2026-02-19 21:42:32.006000+00:00
1771537353007,0,1771537352749,35.0,26.9,39.4,31.6,57.001,0.006,1,0x44D,2026-02-19 21:42:33.007000+00:00
1771537354008,0,1771537353822,35.0,26.9,39.4,31.7,56.998,0.006,1,0x44D,2026-02-19 21:42:34.008000+00:00
1771537355009,0,1771537354896,35.0,26.9,39.4,31.7,56.998,0.006,1,0x44D,2026-02-19 21:42:35.009000+00:00
1771537356010,0,1771537355970,35.0,26.9,39.6,31.7,57.006,0.006,1,0x44D,2026-02-19 21:42:36.010000+00:00
1771537357011,0,1771537355970,35.0,26.9,39.6,31.7,57.006,0.006,1,0x44D,2026-02-19 21:42:37.011000+00:00
1771537358012,0,1771537357053,35.0,26.9,39.7,31.7,57.013,0.006,1,0x44D,2026-02-19 21:42:38.012000+00:00
1771537359013,0,1771537358117,35.0,26.9,39.7,31.7,57.002,0.006,1,0x44D,2026-02-19 21:42:39.013000+00:00
1771537360014,0,1771537359191,35.0,26.9,39.5,31.7,57.002,0.006,1,0x44D,2026-02-19 21:42:40.014000+00:00
1771537361015,0,1771537360265,35.0,26.9,39.6,31.8,57.003,0.006,1,0x44D,2026-02-19 21:42:41.015000+00:00
1771537362016,0,1771537361338,35.0,26.9,39.7,31.8,56.996,0.006,1,0x44D,2026-02-19 21:42:42.016000+00:00
1771537363017,0,1771537362412,35.5,26.9,39.6,31.8,56.992,0.006,1,0x44D,2026-02-19 21:42:43.017000+00:00
1771537364018,0,1771537363486,35.5,26.9,39.7,31.8,56.996,0.006,1,0x44D,2026-02-19 21:42:44.018000+00:00
1771537365019,0,1771537364560,35.5,26.9,39.7,31.8,56.999,0.006,1,0x44D,2026-02-19 21:42:45.019000+00:00
1771537366020,0,1771537365633,35.5,26.9,39.9,31.8,57.003,0.006,1,0x44D,2026-02-19 21:42:46.020000+00:00
1771537367021,0,1771537366707,35.5,26.9,39.7,31.8,56.999,0.006,1,0x44D,2026-02-19 21:42:47.021000+00:00
1771537368022,0,1771537367781,35.5,26.9,39.7,31.9,57.004,0.007,1,0x44D,2026-02-19 21:42:48.022000+00:00
1771537369023,0,1771537368855,35.5,26.9,39.7,31.9,57.008,0.006,1,0x44D,2026-02-19 21:42:49.023000+00:00
1771537370024,0,1771537369928,35.5,26.9,39.7,31.9,57.0,0.006,1,0x44D,2026-02-19 21:42:50.024000+00:00
1771537371025,0,1771537371002,35.5,26.9,39.7,31.9,57.0,0.006,1,0x44D,2026-02-19 21:42:51.025000+00:00
1771537372026,0,1771537371002,35.5,26.9,39.7,31.9,57.0,0.006,1,0x44D,2026-02-19 21:42:52.026000+00:00
1771537373027,0,1771537372076,35.5,26.9,39.6,31.9,57.0,0.007,1,0x44D,2026-02-19 21:42:53.027000+00:00
1771537374028,0,1771537373149,35.5,26.9,39.9,31.9,57.0,0.006,1,0x44D,2026-02-19 21:42:54.028000+00:00
1771537375029,0,1771537374223,35.5,26.9,39.9,32.0,57.001,0.007,1,0x44D,2026-02-19 21:42:55.029000+00:00
1771537376030,0,1771537375297,35.5,26.9,39.7,32.0,56.998,0.006,1,0x44D,2026-02-19 21:42:56.030000+00:00
1771537377031,0,1771537376371,35.5,26.9,39.9,32.0,57.001,0.006,1,0x44D,2026-02-19 21:42:57.031000+00:00
1771537378032,0,1771537377444,35.5,26.9,40.0,32.0,57.001,0.006,1,0x44D,2026-02-19 21:42:58.032000+00:00
1771537379033,0,1771537378518,35.5,26.9,39.9,32.0,57.001,0.006,1,0x44D,2026-02-19 21:42:59.033000+00:00
1771537380034,0,1771537379592,35.5,26.9,39.9,32.0,57.001,0.006,1,0x44D,2026-02-19 21:43:00.034000+00:00
